percentile.id,percentile.sid,percentile.subject,percentile.present,percentile.total,percentile.percentage
370,1,CO,1,1,100.0
371,1,Java,3,7,42.857142857142854
372,1,Maths,1,7,14.285714285714285
373,2,CO,1,1,100.0
374,2,Java,3,7,42.857142857142854
375,2,Maths,4,7,57.14285714285714
376,2,OOPS,1,2,50.0
377,10,Maths,2,7,28.57142857142857
378,11,Maths,2,7,28.57142857142857
379,12,Maths,1,7,14.285714285714285
380,77,CO,1,1,100.0
381,100,CO,1,1,100.0
382,100,Java,2,7,28.57142857142857
383,100,Maths,3,7,42.857142857142854
